sample_code,detection_items,department,order_date,order_num,report_date,conclusion,receive_date,sample_code_format,infer_receive_date,create_time,sample_date,random_num,event_flight,id
,飞鸟残骸鉴定（常规）,广州白云国际机场,2018.05.09,SEQ2018050940511,2018.05.09,,2018.05.09,,2018-05-09,2018.05.09,2018.05.09,40511,CZ3395,10
,飞鸟残骸鉴定（常规）,广州白云国际机场,2018.05.09,SEQ2018050978966,2018.05.09,,2018.05.09,,2018-05-09,2018.05.09,2018.05.09,78966,CZ3198,13
,飞鸟残骸鉴定（常规）,郑州新郑国际机场场道管理部鸟击防范室,2018.08.22,SEQ2018082278155,2018.08.22,,2018.08.22,,2018-08-22,2018.08.22,2018.08.22,78155,南航B-5157,105
,飞鸟残骸鉴定（常规）,郑州新郑国际机场场道管理部鸟击防范室,2018.08.22,SEQ2018082270810,2018.08.22,,2018.08.22,,2018-08-22,2018.08.22,2018.08.22,70810,祥鹏航空7990,106
,飞鸟残骸鉴定（常规）,南宁机场修缮动力部,2018.10.11,SEQ2018101146645,2018.10.11,,2018.10.11,,2018-10-11,2018.10.11,2018.10.11,46645,CZ3758,203
,飞鸟残骸鉴定（常规）,南宁机场修缮动力部,2018.10.11,SEQ2018101169118,2018.10.11,,2018.10.11,,2018-10-11,2018.10.11,2018.10.11,69118,ID5507,204
,飞鸟残骸鉴定（常规）,南宁机场修缮动力部,2018.10.11,SEQ2018101170640,2018.10.11,,2018.10.11,,2018-10-11,2018.10.11,2018.10.11,70640,BK2952,205
,飞鸟残骸鉴定（常规）,南宁机场修缮动力部,2018.10.11,SEQ2018101155342,2018.10.11,,2018.10.11,,2018-10-11,2018.10.11,2018.10.11,55342,GX8878,206
,飞鸟残骸鉴定（常规）,南宁机场修缮动力部,2018.10.11,SEQ2018101182814,2018.10.11,,2018.10.11,,2018-10-11,2018.10.11,2018.10.11,82814,GX8884,207
,飞鸟残骸鉴定（常规）,南宁机场修缮动力部,2018.10.11,SEQ2018101176639,2018.10.11,,2018.10.11,,2018-10-11,2018.10.11,2018.10.11,76639,GX8864,208
,飞鸟残骸鉴定（常规）,南宁机场修缮动力部,2018.10.11,SEQ2018101137405,2018.10.11,,2018.10.11,,2018-10-11,2018.10.11,2018.10.11,37405,GX8954,209
,飞鸟残骸鉴定（常规）,南宁机场修缮动力部,2018.10.11,SEQ2018101124751,2018.10.11,,2018.10.11,,2018-10-11,2018.10.11,2018.10.11,24751,GX8828,210
,飞鸟残骸鉴定（常规）,南宁机场修缮动力部,2018.10.11,SEQ2018101124627,2018.10.11,,2018.10.11,,2018-10-11,2018.10.11,2018.10.11,24627,BK2894,211
,飞鸟残骸鉴定（常规）,南宁机场修缮动力部,2018.10.11,SEQ2018101132210,2018.10.11,,2018.10.11,,2018-10-11,2018.10.11,2018.10.11,32210,GX8852,212
,飞鸟残骸鉴定（常规）,山东临沂机场,2018.11.02,SEQ2018110285702,2018.11.02,,2018.11.02,,2018-11-02,2018.11.02,2018.11.02,85702,,293
,,,2020.07.23,SEQ2020072389036,2020.07.23,,2020.07.23,,2020-07-23,2020.07.23,2020.07.23,89036,,1154
,,,2020.07.23,SEQ2020072386291,2020.07.23,,2020.07.23,,2020-07-23,2020.07.23,2020.07.23,86291,,1156
