sample_code_x,detection_items,department,order_date,order_num,report_date,conclusion,receive_date,sample_code_format,infer_receive_date,create_time,sample_date,random_num_x,event_flight,id,Unnamed: 0,date,code,gene_name,file_name,path,sample_code_y,random_num_y,data_num
8,飞鸟残骸鉴定（常规）,上海浦东国际机场,2018.10.11,SEQ2018101193536,2018.10.11,,2018.10.11,8,2018-10-11,2018.10.11,2018.10.11,93536,CZ3685,228,2038,20210324,CZ,COI-1,CZ3685_COI-1_C3511.COI-1-bird-F.W103240410.seq,bird_strike/20210324萧山机场1个&北京大兴机场16个样品检测结果/测序结果/COI-1/CZ3685_COI-1_C3511.COI-1-bird-F.W103240410.seq,CZ3685,19081,CZCOI-12021032419081
8,飞鸟残骸鉴定（常规）,上海浦东国际机场,2018.10.11,SEQ2018101193536,2018.10.11,,2018.10.11,8,2018-10-11,2018.10.11,2018.10.11,93536,CZ3685,228,2052,20210324,CZ,cytb,CZ3685_L14995-H16065_C3511.L14995.W103240412.seq,bird_strike/20210324萧山机场1个&北京大兴机场16个样品检测结果/测序结果/Cytb/CZ3685_L14995-H16065_C3511.L14995.W103240412.seq,CZ3685,62974,CZcytb2021032462974
ZSPDbs2019-085,飞鸟残骸鉴定（常规）,上海浦东国际机场,2019.10.13,SEQ2019101510082,2019.10.15,,2019.10.15,ZSPDbs2019-085,2019-10-15,2019.10.15,2019.10.15,10082,CZ3685,662,2038,20210324,CZ,COI-1,CZ3685_COI-1_C3511.COI-1-bird-F.W103240410.seq,bird_strike/20210324萧山机场1个&北京大兴机场16个样品检测结果/测序结果/COI-1/CZ3685_COI-1_C3511.COI-1-bird-F.W103240410.seq,CZ3685,19081,CZCOI-12021032419081
ZSPDbs2019-085,飞鸟残骸鉴定（常规）,上海浦东国际机场,2019.10.13,SEQ2019101510082,2019.10.15,,2019.10.15,ZSPDbs2019-085,2019-10-15,2019.10.15,2019.10.15,10082,CZ3685,662,2052,20210324,CZ,cytb,CZ3685_L14995-H16065_C3511.L14995.W103240412.seq,bird_strike/20210324萧山机场1个&北京大兴机场16个样品检测结果/测序结果/Cytb/CZ3685_L14995-H16065_C3511.L14995.W103240412.seq,CZ3685,62974,CZcytb2021032462974
ZSPDbs2019-179,飞鸟残骸鉴定（常规）,上海浦东国际机场,2019.10.13,SEQ2019101516169,2019.10.15,,2019.10.15,ZSPDbs2019-179,2019-10-15,2019.10.15,2019.10.15,16169,CZ3685,756,2038,20210324,CZ,COI-1,CZ3685_COI-1_C3511.COI-1-bird-F.W103240410.seq,bird_strike/20210324萧山机场1个&北京大兴机场16个样品检测结果/测序结果/COI-1/CZ3685_COI-1_C3511.COI-1-bird-F.W103240410.seq,CZ3685,19081,CZCOI-12021032419081
ZSPDbs2019-179,飞鸟残骸鉴定（常规）,上海浦东国际机场,2019.10.13,SEQ2019101516169,2019.10.15,,2019.10.15,ZSPDbs2019-179,2019-10-15,2019.10.15,2019.10.15,16169,CZ3685,756,2052,20210324,CZ,cytb,CZ3685_L14995-H16065_C3511.L14995.W103240412.seq,bird_strike/20210324萧山机场1个&北京大兴机场16个样品检测结果/测序结果/Cytb/CZ3685_L14995-H16065_C3511.L14995.W103240412.seq,CZ3685,62974,CZcytb2021032462974
ZSPD2020-162,飞鸟残骸鉴定（常规）,上海浦东国际机场,2020.11.05,SEQ2020110748477,2020.11.07,,2020.11.07,ZSPD2020-162,2020-11-07,2020.11.07,2020.11.07,48477,CZ3685,1737,2038,20210324,CZ,COI-1,CZ3685_COI-1_C3511.COI-1-bird-F.W103240410.seq,bird_strike/20210324萧山机场1个&北京大兴机场16个样品检测结果/测序结果/COI-1/CZ3685_COI-1_C3511.COI-1-bird-F.W103240410.seq,CZ3685,19081,CZCOI-12021032419081
ZSPD2020-162,飞鸟残骸鉴定（常规）,上海浦东国际机场,2020.11.05,SEQ2020110748477,2020.11.07,,2020.11.07,ZSPD2020-162,2020-11-07,2020.11.07,2020.11.07,48477,CZ3685,1737,2052,20210324,CZ,cytb,CZ3685_L14995-H16065_C3511.L14995.W103240412.seq,bird_strike/20210324萧山机场1个&北京大兴机场16个样品检测结果/测序结果/Cytb/CZ3685_L14995-H16065_C3511.L14995.W103240412.seq,CZ3685,62974,CZcytb2021032462974
ZBAD2020-10,飞鸟残骸鉴定（常规）,北京大兴国际机场,2020.05.18,SEQ2020052151901,2020.05.21,,2020.05.21,ZBAD2020-10,2020-05-21,2020.05.21,2020.05.21,51901,MF8202,1047,270,20200825,MF,COI-1,MF8202_COI-1_C2790.COI-1-bird-F.PW009030669.seq,bird_strike/20200825&0828&0831常州机场3个&大兴机场36个&萧山机场3个加急样品结果/测序结果/COI-1/MF8202_COI-1_C2790.COI-1-bird-F.PW009030669.seq,MF8202,23318,MFCOI-12020082523318
ZBAD2020-10,飞鸟残骸鉴定（常规）,北京大兴国际机场,2020.05.18,SEQ2020052151901,2020.05.21,,2020.05.21,ZBAD2020-10,2020-05-21,2020.05.21,2020.05.21,51901,MF8202,1047,276,20200825,MF,cytb,MF8202_L14995-H16065_C2790.L14995.PW009030773.seq,bird_strike/20200825&0828&0831常州机场3个&大兴机场36个&萧山机场3个加急样品结果/测序结果/Cytb/良好/MF8202_L14995-H16065_C2790.L14995.PW009030773.seq,MF8202,24846,MFcytb2020082524846
