sample_code_x,detection_items,department,order_date,order_num,report_date,conclusion,receive_date,sample_code_format,infer_receive_date,create_time,sample_date,random_num_x,event_flight,id,Unnamed: 0,date,code,gene_name,file_name,path,sample_code_y,random_num_y,data_num,sample_code
ZSHC/2017/81,飞鸟残骸鉴定（常规）,杭州萧山国际机场有限公司,2018.4.9,SEQ2018041676063,2018.04.16,,2018.04.16,ZSHC-2017-81,2018-04-16,2018.04.16,2018.04.16,76063,9C8555,1.0,,,,,,,,,,ZSHC-2017-81
ZSHC/2017/80,飞鸟残骸鉴定（常规）,杭州萧山国际机场有限公司,2018.4.9,SEQ2018041686582,2018.04.16,,2018.04.16,ZSHC-2017-80,2018-04-16,2018.04.16,2018.04.16,86582,JD0472,2.0,,,,,,,,,,ZSHC-2017-80
ZSHC/2017/82,飞鸟残骸鉴定（常规）,杭州萧山国际机场有限公司,2018.4.9,SEQ2018041672814,2018.04.16,,2018.04.16,ZSHC-2017-82,2018-04-16,2018.04.16,2018.04.16,72814,MF8026,3.0,,,,,,,,,,ZSHC-2017-82
ZSHC/2017/83,飞鸟残骸鉴定（常规）,杭州萧山国际机场有限公司,2018.4.9,SEQ2018041654900,2018.04.16,,2018.04.16,ZSHC-2017-83,2018-04-16,2018.04.16,2018.04.16,54900,JD5351,4.0,,,,,,,,,,ZSHC-2017-83
ZSHC/2018/01,飞鸟残骸鉴定（常规）,杭州萧山国际机场有限公司,2018.4.9,SEQ2018041636426,2018.04.16,,2018.04.16,ZSHC-2018-01,2018-04-16,2018.04.16,2018.04.16,36426,CA1704,5.0,,,,,,,,,,ZSHC-2018-01
ZSHC/2018/02,飞鸟残骸鉴定（常规）,杭州萧山国际机场有限公司,2018.4.9,SEQ2018041654953,2018.04.16,,2018.04.16,ZSHC-2018-02,2018-04-16,2018.04.16,2018.04.16,54953,CA1673,6.0,,,,,,,,,,ZSHC-2018-02
ZSHC/2018/03,飞鸟残骸鉴定（常规）,杭州萧山国际机场有限公司,2018.4.9,SEQ2018041665802,2018.04.16,,2018.04.16,ZSHC-2018-03,2018-04-16,2018.04.16,2018.04.16,65802,MU9998,7.0,,,,,,,,,,ZSHC-2018-03
ZSHC/2018/04,飞鸟残骸鉴定（常规）,杭州萧山国际机场有限公司,2018.4.9,SEQ2018041672050,2018.04.16,,2018.04.16,ZSHC-2018-04,2018-04-16,2018.04.16,2018.04.16,72050,CA1742,8.0,,,,,,,,,,ZSHC-2018-04
ZGGG-2018-07,飞鸟残骸鉴定（常规）,广州白云国际机场,2018.05.09,SEQ2018050932167,2018.05.09,,2018.05.09,ZGGG-2018-07,2018-05-09,2018.05.09,2018.05.09,32167,MU2907,9.0,,,,,,,,,,ZGGG-2018-07
ZGGG-2018-07,飞鸟残骸鉴定（常规）,广州白云国际机场,2018.05.09,SEQ2018050993212,2018.05.09,,2018.05.09,ZGGG-2018-07,2018-05-09,2018.05.09,2018.05.09,93212,CA4333,18.0,,,,,,,,,,ZGGG-2018-07
ZGGG-2018-05,飞鸟残骸鉴定（常规）,广州白云国际机场,2018.05.09,SEQ2018050962788,2018.05.09,,2018.05.09,ZGGG-2018-05,2018-05-09,2018.05.09,2018.05.09,62788,MU7132,11.0,,,,,,,,,,ZGGG-2018-05
ZGGG-2018-26,飞鸟残骸鉴定（常规）,广州白云国际机场,2018.05.09,SEQ2018050944490,2018.05.09,,2018.05.09,ZGGG-2018-26,2018-05-09,2018.05.09,2018.05.09,44490,CA4305,12.0,,,,,,,,,,ZGGG-2018-26
ZGGG-2018-31,飞鸟残骸鉴定（常规）,广州白云国际机场,2018.05.09,SEQ2018050977302,2018.05.09,,2018.05.09,ZGGG-2018-31,2018-05-09,2018.05.09,2018.05.09,77302,MU5311,14.0,,,,,,,,,,ZGGG-2018-31
ZGGG-2018-04,飞鸟残骸鉴定（常规）,广州白云国际机场,2018.05.09,SEQ2018050924067,2018.05.09,,2018.05.09,ZGGG-2018-04,2018-05-09,2018.05.09,2018.05.09,24067,HU7352,15.0,,,,,,,,,,ZGGG-2018-04
ZGGG-2017-03,飞鸟残骸鉴定（常规）,广州白云国际机场,2018.05.09,SEQ2018050955863,2018.05.09,,2018.05.09,ZGGG-2017-03,2018-05-09,2018.05.09,2018.05.09,55863,HU7720,16.0,,,,,,,,,,ZGGG-2017-03
ZGGG-2018-09,飞鸟残骸鉴定（常规）,广州白云国际机场,2018.05.09,SEQ2018050946008,2018.05.09,,2018.05.09,ZGGG-2018-09,2018-05-09,2018.05.09,2018.05.09,46008,MV2622,17.0,,,,,,,,,,ZGGG-2018-09
ZGGG-2018-33,飞鸟残骸鉴定（常规）,广州白云国际机场,2018.05.09,SEQ2018050921438,2018.05.09,,2018.05.09,ZGGG-2018-33,2018-05-09,2018.05.09,2018.05.09,21438,CZ3880,19.0,,,,,,,,,,ZGGG-2018-33
ZGGG-2018-21,飞鸟残骸鉴定（常规）,广州白云国际机场,2018.05.09,SEQ2018050919336,2018.05.09,,2018.05.09,ZGGG-2018-21,2018-05-09,2018.05.09,2018.05.09,19336,CA4301,20.0,,,,,,,,,,ZGGG-2018-21
ZGGG-2018-25,飞鸟残骸鉴定（常规）,广州白云国际机场,2018.05.09,SEQ2018050919665,2018.05.09,,2018.05.09,ZGGG-2018-25,2018-05-09,2018.05.09,2018.05.09,19665,CA4024,21.0,,,,,,,,,,ZGGG-2018-25
ZGGG-2018-13,飞鸟残骸鉴定（常规）,广州白云国际机场,2018.05.09,SEQ2018050914273,2018.05.09,,2018.05.09,ZGGG-2018-13,2018-05-09,2018.05.09,2018.05.09,14273,CZ3368,22.0,,,,,,,,,,ZGGG-2018-13
ZGGG-2018-18,飞鸟残骸鉴定（常规）,广州白云国际机场,2018.05.09,SEQ2018050937986,2018.05.09,,2018.05.09,ZGGG-2018-18,2018-05-09,2018.05.09,2018.05.09,37986,8L9973,23.0,,,,,,,,,,ZGGG-2018-18
ZGGG-2018-02,飞鸟残骸鉴定（常规）,广州白云国际机场,2018.05.09,SEQ2018050963329,2018.05.09,,2018.05.09,ZGGG-2018-02,2018-05-09,2018.05.09,2018.05.09,63329,MV2492 ,24.0,,,,,,,,,,ZGGG-2018-02
ZGGG-2018-11,飞鸟残骸鉴定（常规）,广州白云国际机场,2018.05.09,SEQ2018050975257,2018.05.09,,2018.05.09,ZGGG-2018-11,2018-05-09,2018.05.09,2018.05.09,75257,CA1387,25.0,,,,,,,,,,ZGGG-2018-11
ZSHC/2018/16,飞鸟残骸鉴定（常规）,杭州萧山国际机场,2018.5.21,SEQ2018052189513,2018.05.21,,2018.05.21,ZSHC-2018-16,2018-05-21,2018.05.21,2018.05.21,89513,3U8226,26.0,,,,,,,,,,ZSHC-2018-16
ZSHC/2018/15,飞鸟残骸鉴定（常规）,杭州萧山国际机场,2018.5.21,SEQ2018052154551,2018.05.21,,2018.05.21,ZSHC-2018-15,2018-05-21,2018.05.21,2018.05.21,54551,HU7391,27.0,,,,,,,,,,ZSHC-2018-15
ZSHC/2018/9,飞鸟残骸鉴定（常规）,杭州萧山国际机场,2018.5.21,SEQ2018052137845,2018.05.21,,2018.05.21,ZSHC-2018-9,2018-05-21,2018.05.21,2018.05.21,37845,NX122,28.0,,,,,,,,,,ZSHC-2018-9
