,date,code,gene_name,file_name,path,sample_code,random_num,data_num
12,20210428,ZBAD,COI-1,ZBAD2021-jiaji1_COI-1_C3655.COI-1-bird-R.W105071003.seq,bird_strike/20210428北京大兴机场1个检测结果/测序结果/COI-1/ZBAD2021-jiaji1_COI-1_C3655.COI-1-bird-R.W105071003.seq,ZBAD2021-jiaji1,91829,ZBADCOI-12021042891829
13,20210428,ZBAD,COI-1,ZBAD2021-jiaji1_COI-1_C3655.COI-1-bird-F.W105071002.seq,bird_strike/20210428北京大兴机场1个检测结果/测序结果/COI-1/ZBAD2021-jiaji1_COI-1_C3655.COI-1-bird-F.W105071002.seq,ZBAD2021-jiaji1,49920,ZBADCOI-12021042849920
14,20210428,ZBAD,ND2,ZBAD2021-jiaji1_ND2_C3655.L5219.W105071016.seq,bird_strike/20210428北京大兴机场1个检测结果/测序结果/ND2/ZBAD2021-jiaji1_ND2_C3655.L5219.W105071016.seq,ZBAD2021-jiaji1,24682,ZBADND22021042824682
15,20210428,ZBAD,ND2,ZBAD2021-jiaji1_ND2_C3655.H6313.W105071017.seq,bird_strike/20210428北京大兴机场1个检测结果/测序结果/ND2/ZBAD2021-jiaji1_ND2_C3655.H6313.W105071017.seq,ZBAD2021-jiaji1,30479,ZBADND22021042830479
16,20210428,ZBAD,cytb,ZBAD2021-jiaji1_L14995-H16065_C3655.H16065.W105071001.seq,bird_strike/20210428北京大兴机场1个检测结果/测序结果/Cytb/ZBAD2021-jiaji1_L14995-H16065_C3655.H16065.W105071001.seq,ZBAD2021-jiaji1,13872,ZBADcytb2021042813872
17,20210428,ZBAD,cytb,ZBAD2021-jiaji1_L14995-H16065_C3655.L14995.W105071000.seq,bird_strike/20210428北京大兴机场1个检测结果/测序结果/Cytb/ZBAD2021-jiaji1_L14995-H16065_C3655.L14995.W105071000.seq,ZBAD2021-jiaji1,22615,ZBADcytb2021042822615
18,20210428,ZBAD,Vercytb,ZBAD2021-jiaji1_Vercytb_C3655.Vercytb-F.W105071032.seq,bird_strike/20210428北京大兴机场1个检测结果/测序结果/Vercytb/双峰/ZBAD2021-jiaji1_Vercytb_C3655.Vercytb-F.W105071032.seq,ZBAD2021-jiaji1,93770,ZBADVercytb2021042893770
19,20210428,ZBAD,Vercytb,ZBAD2021-jiaji1_Vercytb_C3655.Vercytb-R.W105071033.seq,bird_strike/20210428北京大兴机场1个检测结果/测序结果/Vercytb/双峰/ZBAD2021-jiaji1_Vercytb_C3655.Vercytb-R.W105071033.seq,ZBAD2021-jiaji1,65482,ZBADVercytb2021042865482
20,20210428,ZBAD,COI-2,ZBAD2021-jiaji1_COI-2_C3655.COI-2-F.W105071018.seq,bird_strike/20210428北京大兴机场1个检测结果/测序结果/COI-2/ZBAD2021-jiaji1_COI-2_C3655.COI-2-F.W105071018.seq,ZBAD2021-jiaji1,56351,ZBADCOI-22021042856351
21,20210428,ZBAD,COI-2,ZBAD2021-jiaji1_COI-2_C3655.COI-2-R.W105071019.seq,bird_strike/20210428北京大兴机场1个检测结果/测序结果/COI-2/ZBAD2021-jiaji1_COI-2_C3655.COI-2-R.W105071019.seq,ZBAD2021-jiaji1,85279,ZBADCOI-22021042885279
22,20200721,ZGGG,ND2,ZGGG-2020-11_ND2_C2607-1.L5219.PW007302740.seq,bird_strike/20200721白云机场28个样品结果/2个补测的样品结果/测序结果/ND2/ZGGG-2020-11_ND2_C2607-1.L5219.PW007302740.seq,ZGGG-2020-11,33882,ZGGGND22020072133882
23,20200721,ZGGG,COI-1,ZGGG-2020-13_COI-1_C2607.COI-1-bird-F.PW007241113.seq,bird_strike/20200721白云机场28个样品结果/测序结果/COI/良好/ZGGG-2020-13_COI-1_C2607.COI-1-bird-F.PW007241113.seq,ZGGG-2020-13,16578,ZGGGCOI-12020072116578
24,20200721,ZGGG,COI-1,ZGGG-2020-85_COI-1_C2607.COI-1-bird-F.PW007241098.seq,bird_strike/20200721白云机场28个样品结果/测序结果/COI/良好/ZGGG-2020-85_COI-1_C2607.COI-1-bird-F.PW007241098.seq,ZGGG-2020-85,12703,ZGGGCOI-12020072112703
25,20200721,ZGGG,COI-1,ZGGG-2020-74_COI-1_C2607.COI-1-bird-F.PW007241107.seq,bird_strike/20200721白云机场28个样品结果/测序结果/COI/良好/ZGGG-2020-74_COI-1_C2607.COI-1-bird-F.PW007241107.seq,ZGGG-2020-74,71429,ZGGGCOI-12020072171429
26,20200721,ZGGG,COI-1,ZGGG-2020-50_COI-1_C2607.COI-1-bird-F.PW007241122.seq,bird_strike/20200721白云机场28个样品结果/测序结果/COI/良好/ZGGG-2020-50_COI-1_C2607.COI-1-bird-F.PW007241122.seq,ZGGG-2020-50,25496,ZGGGCOI-12020072125496
27,20200721,ZGGG,COI-1,ZGGG-2020-78_COI-1_C2607.COI-1-bird-F.PW007241123.seq,bird_strike/20200721白云机场28个样品结果/测序结果/COI/良好/ZGGG-2020-78_COI-1_C2607.COI-1-bird-F.PW007241123.seq,ZGGG-2020-78,13604,ZGGGCOI-12020072113604
28,20200721,ZGGG,COI-1,ZGGG-2020-40_COI-1_C2607.COI-1-bird-F.PW007241074.seq,bird_strike/20200721白云机场28个样品结果/测序结果/COI/良好/ZGGG-2020-40_COI-1_C2607.COI-1-bird-F.PW007241074.seq,ZGGG-2020-40,42444,ZGGGCOI-12020072142444
29,20200721,ZGGG,COI-1,ZGGG-2020-58_COI-1_C2607.COI-1-bird-F.PW007241075.seq,bird_strike/20200721白云机场28个样品结果/测序结果/COI/双峰/ZGGG-2020-58_COI-1_C2607.COI-1-bird-F.PW007241075.seq,ZGGG-2020-58,88578,ZGGGCOI-12020072188578
30,20200721,ZGGG,COI-1,ZGGG-2020-48_COI-1_C2607.COI-1-bird-F.PW007241114.seq,bird_strike/20200721白云机场28个样品结果/测序结果/COI/双峰/ZGGG-2020-48_COI-1_C2607.COI-1-bird-F.PW007241114.seq,ZGGG-2020-48,42734,ZGGGCOI-12020072142734
31,20200721,ZGGG,COI-1,ZGGG-2020-33_COI-1_C2607.COI-1-bird-F.PW007241129.seq,bird_strike/20200721白云机场28个样品结果/测序结果/COI/双峰/ZGGG-2020-33_COI-1_C2607.COI-1-bird-F.PW007241129.seq,ZGGG-2020-33,64517,ZGGGCOI-12020072164517
32,20200721,ZGGG,COI-1,ZGGG-2020-6_COI-1_C2607.COI-1-bird-F.PW007241084.seq,bird_strike/20200721白云机场28个样品结果/测序结果/COI/双峰/ZGGG-2020-6_COI-1_C2607.COI-1-bird-F.PW007241084.seq,ZGGG-2020-6,87830,ZGGGCOI-12020072187830
33,20200721,ZGGG,COI-1,ZGGG-2020-62_COI-1_C2607.COI-1-bird-F.PW007241086.seq,bird_strike/20200721白云机场28个样品结果/测序结果/COI/双峰/ZGGG-2020-62_COI-1_C2607.COI-1-bird-F.PW007241086.seq,ZGGG-2020-62,76969,ZGGGCOI-12020072176969
34,20200721,ZGGG,COI-1,ZGGG-2020-21_COI-1_C2607.COI-1-bird-F.PW007241121.seq,bird_strike/20200721白云机场28个样品结果/测序结果/COI/双峰/ZGGG-2020-21_COI-1_C2607.COI-1-bird-F.PW007241121.seq,ZGGG-2020-21,69694,ZGGGCOI-12020072169694
35,20200721,ZGGG,COI-1,ZGGG-2020-41_COI-1_C2607.COI-1-bird-F.PW007241085.seq,bird_strike/20200721白云机场28个样品结果/测序结果/COI/双峰/ZGGG-2020-41_COI-1_C2607.COI-1-bird-F.PW007241085.seq,ZGGG-2020-41,36172,ZGGGCOI-12020072136172
36,20200721,ZGGG,COI-1,ZGGG-2020-47_COI-1_C2607.COI-1-bird-F.PW007241106.seq,bird_strike/20200721白云机场28个样品结果/测序结果/COI/双峰/ZGGG-2020-47_COI-1_C2607.COI-1-bird-F.PW007241106.seq,ZGGG-2020-47,22440,ZGGGCOI-12020072122440
37,20200721,ZGGG,cytb,ZGGG-2020-6_L14995-H16065_C2607.L14995.PW007241080.seq,bird_strike/20200721白云机场28个样品结果/测序结果/Cytb/良好/ZGGG-2020-6_L14995-H16065_C2607.L14995.PW007241080.seq,ZGGG-2020-6,37169,ZGGGcytb2020072137169
38,20200721,ZGGG,cytb,ZGGG-2020-48_L14995-H16065_C2607.L14995.PW007241111.seq,bird_strike/20200721白云机场28个样品结果/测序结果/Cytb/良好/ZGGG-2020-48_L14995-H16065_C2607.L14995.PW007241111.seq,ZGGG-2020-48,71802,ZGGGcytb2020072171802
39,20200721,ZGGG,cytb,ZGGG-2020-78_L14995-H16065_C2607.L14995.PW007241120.seq,bird_strike/20200721白云机场28个样品结果/测序结果/Cytb/良好/ZGGG-2020-78_L14995-H16065_C2607.L14995.PW007241120.seq,ZGGG-2020-78,55781,ZGGGcytb2020072155781
40,20200721,ZGGG,cytb,ZGGG-2020-74_L14995-H16065_C2607.L14995.PW007241104.seq,bird_strike/20200721白云机场28个样品结果/测序结果/Cytb/良好/ZGGG-2020-74_L14995-H16065_C2607.L14995.PW007241104.seq,ZGGG-2020-74,31037,ZGGGcytb2020072131037
41,20200721,ZGGG,cytb,ZGGG-2020-81_L14995-H16065_C2607.L14995.PW007241128.seq,bird_strike/20200721白云机场28个样品结果/测序结果/Cytb/良好/ZGGG-2020-81_L14995-H16065_C2607.L14995.PW007241128.seq,ZGGG-2020-81,21437,ZGGGcytb2020072121437
42,20200721,ZGGG,cytb,ZGGG-2020-83_L14995-H16065_C2607.L14995.PW007241072.seq,bird_strike/20200721白云机场28个样品结果/测序结果/Cytb/良好/ZGGG-2020-83_L14995-H16065_C2607.L14995.PW007241072.seq,ZGGG-2020-83,69371,ZGGGcytb2020072169371
43,20200721,ZGGG,cytb,ZGGG-2020-7_L14995-H16065_C2607.L14995.PW007241091.seq,bird_strike/20200721白云机场28个样品结果/测序结果/Cytb/良好/ZGGG-2020-7_L14995-H16065_C2607.L14995.PW007241091.seq,ZGGG-2020-7,47031,ZGGGcytb2020072147031
